Rank Appointment Insignia, Environment, Rank
General/Flag Officers,Royal Canadian Navy,Admiral (Adm)
General/Flag Officers,Canadian Army,General (Gen),
General/Flag Officers,Royal Canadian Air Force,General (Gen)
General/Flag Officers,Royal Canadian Navy,Vice-Admiral (VAdm),
General/Flag Officers,Canadian Army,Lieutenant-General (LGen),
General/Flag Officers,Royal Canadian Air Force,Lieutenant-General (LGen)
General/Flag Officers,Royal Canadian Navy,Rear-Admiral (RAdm)
General/Flag Officers,Canadian Army,Major-General (MGen)
General/Flag Officers,Royal Canadian Air Force,Major-General (MGen)
General/Flag Officers,Royal Canadian Navy, Commodore (Cmdre)
General/Flag Officers,Canadian Army,Brigadier-General (BGen)
General/Flag Officers,Royal Canadian Air Force,Brigadier-General (BGen)
Senior Officers,Royal Canadian Navy,Captain (Capt(N))
Senior Officers,Canadian Army,Colonel (Col)
Senior Officers,Royal Canadian Air Force,Colonel (Col)
Senior Officers,Royal Canadian Navy,Commander (Cdr)
Senior Officers,Canadian Army,Lieutenant-Colonel (LCol)
Senior Officers,Royal Canadian Air Force,Lieutenant-Colonel (LCol)
Senior Officers,Royal Canadian Navy,Lieutenant-Commander (LCdr)
Senior Officers,Canadian Army,Major (Maj)
Senior Officers,Royal Canadian Air Force,Major (Maj)
Junior Officers,Royal Canadian Navy,Lieutenant (Lt(N))
Junior Officers,Canadian Army,Captain(Capt)
Junior Officers,Royal Canadian Air Force,Captain(Capt)
Junior Officers,Royal Canadian Navy,Sub-Lieutenant (SLt)
Junior Officers,Canadian Army,Lieutenant (Lt)
Junior Officers,Royal Canadian Air Force,Lieutenant (Lt)
Junior Officers,Royal Canadian Navy,Acting Sub-Lieutenant (A/SLt)
Junior Officers,Canadian Army,Second Lieutenant (2Lt)
Junior Officers,Royal Canadian Air Force,Second Lieutenant (2Lt)
Subordinate Officer,Royal Canadian Navy,Naval Cadet (NCdt)
Subordinate Officer,Canadian Army,Officer Cadet (OCdt)
Subordinate Officer,Royal Canadian Air Force,Officer Cadet (OCdt)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Navy,Chief Petty Officer 1st class (CPO 1)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Canadian Army,Chief Warrant Officer (CWO)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Air Force,Chief Warrant Officer (CWO)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Navy,Chief Petty Officer 2nd class (CPO 2)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Canadian Army,Master Warrant Officer (MWO)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Air Force,Master Warrant Officer (MWO)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Navy,Petty Officer 1st class (PO 1)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Canadian Army,Warrant Officer (WO)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Air Force,Warrant Officer (WO)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Navy,Petty Officer 2nd class (PO 2)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Canadian Army,Sergeant (Sgt)
"Warrant Officers, Petty Officers and Senior Non-Commissioned Officers",Royal Canadian Air Force,Sergeant (Sgt)
Junior Non-Commissioned Members,Royal Canadian Navy,Master Seaman (MS)
Junior Non-Commissioned Members,Canadian Army,Master Corporal (MCpl)
Junior Non-Commissioned Members,Royal Canadian Air Force,Master Corporal (MCpl)
Junior Non-Commissioned Members,Royal Canadian Navy,Leading Seaman (LS)
Junior Non-Commissioned Members,Canadian Army,Corporal (Cpl)
Junior Non-Commissioned Members,Royal Canadian Air Force,Corporal (Cpl)
Junior Non-Commissioned Members,Royal Canadian Navy,Able Seaman (AB)
Junior Non-Commissioned Members,Canadian Army,Private Trained (Pte (T)) / Aviator Trained (Avr)
Junior Non-Commissioned Members,Royal Canadian Air Force,Private Trained (Pte (T)) / Aviator Trained (Avr)
Junior Non-Commissioned Members,Royal Canadian Navy,Ordinary Seaman (OS)
Junior Non-Commissioned Members,Canadian Army,Private Basic (Pte (B)) / Aviator Basic (Avr)
Junior Non-Commissioned Members,Royal Canadian Air Force,Private Basic (Pte (B)) / Aviator Basic (Avr)
